"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","EN","EN.Overdose","duration"
34,"bf.s1",7.65,11.87,8.95,3.72,0.8,32.98,4.52,46.08
34,"bf.s2",0,0,0,0,0,0,0,46.08
34,"ours1.s1",7.5,10.58,8.14,3.58,0.88,30.67,4.45,36.09
34,"ours1.s2",0.83,1.24,0.85,0.34,0.05,3.31,0.39,41.08
34,"ours2.s1",7.53,10.63,8.1,3.59,0.87,30.71,4.45,36.1
34,"ours2.s2",1.05,1.44,0.89,0.41,0.07,3.86,0.48,41.74
34,"titeet",5.8,8.9,5.1,2.1,0.4,22.3,2.5,25.94
34,"bfet",6.2,11.58,9.58,4.84,1.35,33.56,6.19,44.4
44,"ours0.s1",5.59,6.95,8.2,10.66,8.49,39.89,-1,52.19
44,"ours0.s2",0.04,0.12,0.35,0.72,0.73,1.96,-1,55.4
44,"bf.s1",4.01,5.85,8.78,11.12,8.41,38.17,-1,52.22
44,"bf.s2",0,0,0,0,0,0,-1,52.22
44,"ours1.s1",5.23,6.08,7.13,9.26,8.33,36.02,-1,43.15
44,"ours1.s2",0.17,0.52,1,1.67,0.76,4.12,-1,49.47
44,"ours2.s1",5.17,6.11,7.18,9.21,8.39,36.06,-1,43.08
44,"ours2.s2",0.3,0.78,1.33,1.91,0.95,5.28,-1,50.77
44,"titeet",3.5,4.1,5.3,8.1,5.7,26.7,-1,33.2
44,"bfet",3.9,5.05,6.75,10.92,9.97,36.6,-1,53
22,"ours0.s1",6.03,7.81,9.42,9.54,4.73,37.52,-1,51.52
22,"ours0.s2",0.04,0.12,0.42,0.97,0.47,2.02,-1,54.78
22,"bf.s1",4.63,7.25,9.94,9.73,4.6,36.15,-1,51.41
22,"bf.s2",0,0,0,0,0,0,-1,51.41
22,"ours1.s1",5.77,7.16,8.5,8.84,4.75,35.01,-1,42.97
22,"ours1.s2",0.25,0.62,1.01,1.38,0.61,3.87,-1,48.76
22,"ours2.s1",5.69,7.12,8.6,8.94,4.66,35,-1,42.92
22,"ours2.s2",0.33,0.76,1.18,1.43,0.64,4.34,-1,49.27
22,"titeet",3.9,4.9,6.5,8.1,3.4,26.8,-1,33.16
22,"bfet",4.2,5.83,8.36,10.87,6.21,35.47,-1,54.7
36,"ours0.s1",5.55,6.79,7.92,10.26,8.5,39.02,-1,50.69
36,"ours0.s2",0.05,0.16,0.45,0.94,0.79,2.39,-1,54.57
36,"bf.s1",3.97,5.71,8.42,10.84,8.37,37.31,-1,50.66
36,"bf.s2",0,0,0,0,0,0,-1,50.66
36,"ours1.s1",4.9,5.43,6.32,8.46,8.41,33.52,-1,38.33
36,"ours1.s2",0.44,0.96,1.48,2.19,0.74,5.81,-1,46.76
36,"ours2.s1",4.9,5.51,6.41,8.41,8.26,33.49,-1,38.55
36,"ours2.s2",0.54,1.3,1.97,2.44,0.87,7.12,-1,48.35
36,"titeet",3.5,4.1,5.4,8.3,5.5,26.8,-1,32.87
36,"bfet",3.84,4.98,6.37,10.04,9.95,35.17,-1,46.1
42,"ours0.s1",8.81,12.28,8.71,3.6,0.81,34.21,4.41,47.77
42,"ours0.s2",0.08,0.18,0.47,0.3,0.05,1.08,0.35,49.61
42,"bf.s1",7.78,12.12,9.09,3.72,0.78,33.49,4.5,47.82
42,"bf.s2",0,0,0,0,0,0,0,47.82
42,"ours1.s1",8.1,11.31,8.41,3.68,0.86,32.36,4.54,40.34
42,"ours1.s2",0.41,0.75,0.65,0.34,0.04,2.2,0.39,43.87
42,"ours2.s1",8.04,11.28,8.47,3.65,0.85,32.29,4.5,40.33
42,"ours2.s2",0.56,0.87,0.74,0.41,0.05,2.64,0.46,44.37
42,"titeet",5.6,8.7,5.2,2.3,0.5,22.3,2.8,26.57
42,"bfet",6.25,11.87,10.03,5.03,1.39,34.56,6.42,50.9
4,"ours0.s1",5.53,6.65,7.78,10.1,8.55,38.6,-1,49.76
4,"ours0.s2",0.06,0.22,0.47,1.03,0.73,2.51,-1,53.91
4,"bf.s1",3.95,5.63,8.15,10.57,8.42,36.72,-1,49.8
4,"bf.s2",0,0,0,0,0,0,-1,49.8
4,"ours1.s1",4.54,4.91,5.93,8.01,8.19,31.58,-1,35.48
4,"ours1.s2",0.71,1.41,1.9,2.64,0.74,7.41,-1,45.65
4,"ours2.s1",4.51,4.85,5.77,7.9,8.55,31.58,-1,35.53
4,"ours2.s2",1,1.98,2.51,2.81,0.73,9.04,-1,47.37
4,"titeet",3.6,4.2,5.5,8.3,5.3,26.9,-1,32.79
4,"bfet",3.71,4.72,5.98,8.86,9.98,33.25,-1,39.2
54,"ours0.s1",6.03,7.76,9.02,8.94,4.67,36.42,-1,49.09
54,"ours0.s2",0.06,0.2,0.59,1.15,0.51,2.51,-1,53.09
54,"bf.s1",4.56,7.02,9.49,9.36,4.65,35.08,-1,49.18
54,"bf.s2",0,0,0,0,0,0,-1,49.18
54,"ours1.s1",4.99,5.96,7.61,8.33,4.67,31.56,-1,35.68
54,"ours1.s2",0.88,1.62,1.75,1.67,0.49,6.42,-1,44.57
54,"ours2.s1",5,6,7.51,8.31,4.67,31.5,-1,35.64
54,"ours2.s2",1.33,2.12,2.04,1.7,0.51,7.71,-1,45.85
54,"titeet",4,5.2,6.8,7.9,3.1,27,-1,32.6
54,"bfet",4.11,5.76,7.92,9.83,6.17,33.8,-1,40.8
52,"ours0.s1",5.53,6.65,7.78,10.1,8.55,38.6,-1,49.76
52,"ours0.s2",0.06,0.22,0.47,1.03,0.73,2.51,-1,53.91
52,"bf.s1",3.95,5.63,8.15,10.57,8.42,36.72,-1,49.8
52,"bf.s2",0,0,0,0,0,0,-1,49.8
52,"ours1.s1",4.54,4.91,5.93,8.01,8.19,31.58,-1,35.48
52,"ours1.s2",0.71,1.41,1.9,2.64,0.74,7.41,-1,45.65
52,"ours2.s1",4.51,4.85,5.77,7.9,8.55,31.58,-1,35.53
52,"ours2.s2",1,1.98,2.51,2.81,0.73,9.04,-1,47.37
52,"titeet",3.6,4.2,5.5,8.3,5.3,26.9,-1,32.79
52,"bfet",3.71,4.72,5.98,8.86,9.98,33.25,-1,39.2
6,"ours0.s1",6.03,7.76,9.02,8.94,4.67,36.42,-1,49.09
6,"ours0.s2",0.06,0.2,0.59,1.15,0.51,2.51,-1,53.09
6,"bf.s1",4.56,7.02,9.49,9.36,4.65,35.08,-1,49.18
6,"bf.s2",0,0,0,0,0,0,-1,49.18
6,"ours1.s1",4.99,5.96,7.61,8.33,4.67,31.56,-1,35.68
6,"ours1.s2",0.88,1.62,1.75,1.67,0.49,6.42,-1,44.57
6,"ours2.s1",5,6,7.51,8.31,4.67,31.5,-1,35.64
6,"ours2.s2",1.33,2.12,2.04,1.7,0.51,7.71,-1,45.85
6,"titeet",4,5.2,6.8,7.9,3.1,27,-1,32.6
6,"bfet",4.11,5.76,7.92,9.83,6.17,33.8,-1,40.8
12,"ours0.s1",5.55,6.79,7.92,10.26,8.5,39.02,-1,50.69
12,"ours0.s2",0.05,0.16,0.45,0.94,0.79,2.39,-1,54.57
12,"bf.s1",3.97,5.71,8.42,10.84,8.37,37.31,-1,50.66
12,"bf.s2",0,0,0,0,0,0,-1,50.66
12,"ours1.s1",4.9,5.43,6.32,8.46,8.41,33.52,-1,38.33
12,"ours1.s2",0.44,0.96,1.48,2.19,0.74,5.81,-1,46.76
12,"ours2.s1",4.9,5.51,6.41,8.41,8.26,33.49,-1,38.55
12,"ours2.s2",0.54,1.3,1.97,2.44,0.87,7.12,-1,48.35
12,"titeet",3.5,4.1,5.4,8.3,5.5,26.8,-1,32.87
12,"bfet",3.84,4.98,6.37,10.04,9.95,35.17,-1,46.1
28,"ours0.s1",5.53,6.65,7.78,10.1,8.55,38.6,-1,49.76
28,"ours0.s2",0.06,0.22,0.47,1.03,0.73,2.51,-1,53.91
28,"bf.s1",3.95,5.63,8.15,10.57,8.42,36.72,-1,49.8
28,"bf.s2",0,0,0,0,0,0,-1,49.8
28,"ours1.s1",4.54,4.91,5.93,8.01,8.19,31.58,-1,35.48
28,"ours1.s2",0.71,1.41,1.9,2.64,0.74,7.41,-1,45.65
28,"ours2.s1",4.51,4.85,5.77,7.9,8.55,31.58,-1,35.53
28,"ours2.s2",1,1.98,2.51,2.81,0.73,9.04,-1,47.37
28,"titeet",3.6,4.2,5.5,8.3,5.3,26.9,-1,32.79
28,"bfet",3.71,4.72,5.98,8.86,9.98,33.25,-1,39.2
60,"ours0.s1",5.55,6.79,7.92,10.26,8.5,39.02,-1,50.69
60,"ours0.s2",0.05,0.16,0.45,0.94,0.79,2.39,-1,54.57
60,"bf.s1",3.97,5.71,8.42,10.84,8.37,37.31,-1,50.66
60,"bf.s2",0,0,0,0,0,0,-1,50.66
60,"ours1.s1",4.9,5.43,6.32,8.46,8.41,33.52,-1,38.33
60,"ours1.s2",0.44,0.96,1.48,2.19,0.74,5.81,-1,46.76
60,"ours2.s1",4.9,5.51,6.41,8.41,8.26,33.49,-1,38.55
60,"ours2.s2",0.54,1.3,1.97,2.44,0.87,7.12,-1,48.35
60,"titeet",3.5,4.1,5.4,8.3,5.5,26.8,-1,32.87
60,"bfet",3.84,4.98,6.37,10.04,9.95,35.17,-1,46.1
93,"ours0.s1",10.51,12.56,6.31,1.37,0.17,30.92,1.54,32.02
93,"ours0.s2",0.01,0.04,0.21,0.08,0.01,0.35,0.09,32.43
93,"bf.s1",9.81,12.51,6.42,1.39,0.16,30.29,1.55,32.03
93,"bf.s2",0,0,0,0,0,0,0,32.03
93,"ours1.s1",10.32,12.34,6.44,1.37,0.17,30.63,1.54,27.06
93,"ours1.s2",0.03,0.07,0.22,0.1,0.01,0.42,0.11,27.56
93,"ours2.s1",10.34,12.3,6.42,1.41,0.19,30.66,1.6,27.05
93,"ours2.s2",0.03,0.08,0.27,0.09,0.02,0.49,0.11,27.6
93,"titeet",7,9,4.1,1.2,0.2,21.5,1.4,16.97
93,"bfet",7.87,12.43,7.33,2.08,0.44,30.16,2.52,33.3
20,"ours0.s1",5.59,6.95,8.2,10.66,8.49,39.89,-1,52.19
20,"ours0.s2",0.04,0.12,0.35,0.72,0.73,1.96,-1,55.4
20,"bf.s1",4.01,5.85,8.78,11.12,8.41,38.17,-1,52.22
20,"bf.s2",0,0,0,0,0,0,-1,52.22
20,"ours1.s1",5.23,6.08,7.13,9.26,8.33,36.02,-1,43.15
20,"ours1.s2",0.17,0.52,1,1.67,0.76,4.12,-1,49.47
20,"ours2.s1",5.17,6.11,7.18,9.21,8.39,36.06,-1,43.08
20,"ours2.s2",0.3,0.78,1.33,1.91,0.95,5.28,-1,50.77
20,"titeet",3.5,4.1,5.3,8.1,5.7,26.7,-1,33.2
20,"bfet",3.9,5.05,6.75,10.92,9.97,36.6,-1,53
46,"ours0.s1",6.03,7.81,9.42,9.54,4.73,37.52,-1,51.52
46,"ours0.s2",0.04,0.12,0.42,0.97,0.47,2.02,-1,54.78
46,"bf.s1",4.63,7.25,9.94,9.73,4.6,36.15,-1,51.41
46,"bf.s2",0,0,0,0,0,0,-1,51.41
46,"ours1.s1",5.77,7.16,8.5,8.84,4.75,35.01,-1,42.97
46,"ours1.s2",0.25,0.62,1.01,1.38,0.61,3.87,-1,48.76
46,"ours2.s1",5.69,7.12,8.6,8.94,4.66,35,-1,42.92
46,"ours2.s2",0.33,0.76,1.18,1.43,0.64,4.34,-1,49.27
46,"titeet",3.9,4.9,6.5,8.1,3.4,26.8,-1,33.16
46,"bfet",4.2,5.83,8.36,10.87,6.21,35.47,-1,54.7
30,"ours0.s1",6.03,7.76,9.02,8.94,4.67,36.42,-1,49.09
30,"ours0.s2",0.06,0.2,0.59,1.15,0.51,2.51,-1,53.09
30,"bf.s1",4.56,7.02,9.49,9.36,4.65,35.08,-1,49.18
30,"bf.s2",0,0,0,0,0,0,-1,49.18
30,"ours1.s1",4.99,5.96,7.61,8.33,4.67,31.56,-1,35.68
30,"ours1.s2",0.88,1.62,1.75,1.67,0.49,6.42,-1,44.57
30,"ours2.s1",5,6,7.51,8.31,4.67,31.5,-1,35.64
30,"ours2.s2",1.33,2.12,2.04,1.7,0.51,7.71,-1,45.85
30,"titeet",4,5.2,6.8,7.9,3.1,27,-1,32.6
30,"bfet",4.11,5.76,7.92,9.83,6.17,33.8,-1,40.8
62,"ours0.s1",5.98,7.74,9.19,9.28,4.68,36.87,-1,50.18
62,"ours0.s2",0.06,0.16,0.52,1.03,0.56,2.34,-1,53.9
62,"bf.s1",4.58,7.11,9.68,9.53,4.64,35.54,-1,50.07
62,"bf.s2",0,0,0,0,0,0,-1,50.07
62,"ours1.s1",5.35,6.51,7.96,8.54,4.65,33.01,-1,38.44
62,"ours1.s2",0.54,1.06,1.37,1.53,0.52,5.02,-1,45.73
62,"ours2.s1",5.32,6.52,7.96,8.47,4.76,33.03,-1,38.49
62,"ours2.s2",0.74,1.47,1.7,1.65,0.6,6.15,-1,47.05
62,"titeet",4,5.1,6.6,7.9,3.3,26.9,-1,32.73
62,"bfet",4.14,5.8,8.02,10.5,6.13,34.58,-1,47.4
181,"ours0.s1",10.57,12.48,6.33,1.29,0.14,30.82,1.43,26.28
181,"ours0.s2",0,0.03,0.2,0.09,0.02,0.34,0.1,26.61
181,"bf.s1",9.81,12.6,6.45,1.33,0.13,30.31,1.46,26.37
181,"bf.s2",0,0,0,0,0,0,0,26.37
181,"ours1.s1",10.42,12.29,6.4,1.4,0.18,30.69,1.58,19.53
181,"ours1.s2",0.02,0.07,0.21,0.1,0.01,0.41,0.11,19.95
181,"ours2.s1",10.43,12.35,6.36,1.37,0.18,30.7,1.55,19.6
181,"ours2.s2",0.03,0.07,0.25,0.11,0.02,0.48,0.13,20.06
181,"titeet",7,9,4,1.2,0.3,21.5,1.5,14.17
181,"bfet",7.85,12.34,7.33,2.09,0.44,30.05,2.53,23
205,"ours0.s1",10.57,12.48,6.33,1.29,0.14,30.82,1.43,26.28
205,"ours0.s2",0,0.03,0.2,0.09,0.02,0.34,0.1,26.61
205,"bf.s1",9.81,12.6,6.45,1.33,0.13,30.31,1.46,26.37
205,"bf.s2",0,0,0,0,0,0,0,26.37
205,"ours1.s1",10.42,12.29,6.4,1.4,0.18,30.69,1.58,19.53
205,"ours1.s2",0.02,0.07,0.21,0.1,0.01,0.41,0.11,19.95
205,"ours2.s1",10.43,12.35,6.36,1.37,0.18,30.7,1.55,19.6
205,"ours2.s2",0.03,0.07,0.25,0.11,0.02,0.48,0.13,20.06
205,"titeet",7,9,4,1.2,0.3,21.5,1.5,14.17
205,"bfet",7.85,12.34,7.33,2.09,0.44,30.05,2.53,23
68,"ours0.s1",5.59,6.95,8.2,10.66,8.49,39.89,-1,52.19
68,"ours0.s2",0.04,0.12,0.35,0.72,0.73,1.96,-1,55.4
68,"bf.s1",4.01,5.85,8.78,11.12,8.41,38.17,-1,52.22
68,"bf.s2",0,0,0,0,0,0,-1,52.22
68,"ours1.s1",5.23,6.08,7.13,9.26,8.33,36.02,-1,43.15
68,"ours1.s2",0.17,0.52,1,1.67,0.76,4.12,-1,49.47
68,"ours2.s1",5.17,6.11,7.18,9.21,8.39,36.06,-1,43.08
68,"ours2.s2",0.3,0.78,1.33,1.91,0.95,5.28,-1,50.77
68,"titeet",3.5,4.1,5.3,8.1,5.7,26.7,-1,33.2
68,"bfet",3.9,5.05,6.75,10.92,9.97,36.6,-1,53
149,"ours0.s1",10.34,12.14,6.26,1.38,0.15,30.28,1.54,25.23
149,"ours0.s2",0.01,0.05,0.26,0.08,0.01,0.42,0.09,25.64
149,"bf.s1",9.69,12.23,6.42,1.38,0.12,29.84,1.5,25.34
149,"bf.s2",0,0,0,0,0,0,0,25.34
149,"ours1.s1",9.93,11.65,6.11,1.41,0.21,29.31,1.62,16.21
149,"ours1.s2",0.21,0.25,0.32,0.1,0.02,0.91,0.12,17.19
149,"ours2.s1",9.89,11.7,6.36,1.51,0.22,29.68,1.73,16.32
149,"ours2.s2",0.26,0.28,0.34,0.14,0.02,1.05,0.16,17.4
149,"titeet",7.1,9,4.1,1.2,0.2,21.6,1.4,13.86
149,"bfet",7.74,11.86,7.17,2.12,0.44,29.34,2.56,17.2
157,"ours0.s1",10.57,12.48,6.33,1.29,0.14,30.82,1.43,26.28
157,"ours0.s2",0,0.03,0.2,0.09,0.02,0.34,0.1,26.61
157,"bf.s1",9.81,12.6,6.45,1.33,0.13,30.31,1.46,26.37
157,"bf.s2",0,0,0,0,0,0,0,26.37
157,"ours1.s1",10.42,12.29,6.4,1.4,0.18,30.69,1.58,19.53
157,"ours1.s2",0.02,0.07,0.21,0.1,0.01,0.41,0.11,19.95
157,"ours2.s1",10.43,12.35,6.36,1.37,0.18,30.7,1.55,19.6
157,"ours2.s2",0.03,0.07,0.25,0.11,0.02,0.48,0.13,20.06
157,"titeet",7,9,4,1.2,0.3,21.5,1.5,14.17
157,"bfet",7.85,12.34,7.33,2.09,0.44,30.05,2.53,23
70,"ours0.s1",6.03,7.81,9.42,9.54,4.73,37.52,-1,51.52
70,"ours0.s2",0.04,0.12,0.42,0.97,0.47,2.02,-1,54.78
70,"bf.s1",4.63,7.25,9.94,9.73,4.6,36.15,-1,51.41
70,"bf.s2",0,0,0,0,0,0,-1,51.41
70,"ours1.s1",5.77,7.16,8.5,8.84,4.75,35.01,-1,42.97
70,"ours1.s2",0.25,0.62,1.01,1.38,0.61,3.87,-1,48.76
70,"ours2.s1",5.69,7.12,8.6,8.94,4.66,35,-1,42.92
70,"ours2.s2",0.33,0.76,1.18,1.43,0.64,4.34,-1,49.27
70,"titeet",3.9,4.9,6.5,8.1,3.4,26.8,-1,33.16
70,"bfet",4.2,5.83,8.36,10.87,6.21,35.47,-1,54.7
197,"ours0.s1",10.34,12.14,6.26,1.38,0.15,30.28,1.54,25.23
197,"ours0.s2",0.01,0.05,0.26,0.08,0.01,0.42,0.09,25.64
197,"bf.s1",9.69,12.23,6.42,1.38,0.12,29.84,1.5,25.34
197,"bf.s2",0,0,0,0,0,0,0,25.34
197,"ours1.s1",9.93,11.65,6.11,1.41,0.21,29.31,1.62,16.21
197,"ours1.s2",0.21,0.25,0.32,0.1,0.02,0.91,0.12,17.19
197,"ours2.s1",9.89,11.7,6.36,1.51,0.22,29.68,1.73,16.32
197,"ours2.s2",0.26,0.28,0.34,0.14,0.02,1.05,0.16,17.4
197,"titeet",7.1,9,4.1,1.2,0.2,21.6,1.4,13.86
197,"bfet",7.74,11.86,7.17,2.12,0.44,29.34,2.56,17.2
35,"ours0.s1",5.87,7.46,10.57,9.11,4.72,37.73,-1,49.83
35,"ours0.s2",0.06,0.21,0.75,0.99,0.48,2.48,-1,53.78
35,"bf.s1",4.57,7.05,10.44,9.59,4.63,36.28,-1,49.85
35,"bf.s2",0,0,0,0,0,0,-1,49.85
35,"ours1.s1",5.23,6.23,8.54,8.38,4.85,33.22,-1,38.55
35,"ours1.s2",0.43,0.89,2.32,1.47,0.44,5.56,-1,46.58
35,"ours2.s1",5.21,6.28,8.62,8.35,4.78,33.24,-1,38.56
35,"ours2.s2",0.58,1.36,2.4,1.62,0.5,6.45,-1,47.43
35,"titeet",4,5,8.1,5.8,2.5,25.4,-1,30.5
35,"bfet",4.14,5.64,10.44,10.32,6.13,36.66,-1,47.8
165,"ours0.s1",10.65,12.81,6.23,1.22,0.12,31.03,1.34,27.67
165,"ours0.s2",0,0.03,0.19,0.08,0.01,0.31,0.08,27.96
165,"bf.s1",9.91,12.83,6.47,1.29,0.12,30.63,1.42,27.73
165,"bf.s2",0,0,0,0,0,0,0,27.73
165,"ours1.s1",10.4,12.65,6.55,1.45,0.17,31.22,1.62,23.56
165,"ours1.s2",0.01,0.03,0.22,0.08,0.01,0.34,0.09,23.88
165,"ours2.s1",10.51,12.62,6.46,1.36,0.14,31.09,1.5,23.58
165,"ours2.s2",0,0.04,0.25,0.1,0.01,0.41,0.11,23.95
165,"titeet",7.2,9,4,1.2,0.2,21.6,1.4,14.85
165,"bfet",8.02,12.67,7.5,2.12,0.42,30.74,2.54,29.3
27,"ours0.s1",5.85,7.31,10.2,8.97,4.78,37.11,-1,49.1
27,"ours0.s2",0.06,0.24,0.94,1.07,0.42,2.72,-1,53.46
27,"bf.s1",4.54,6.96,10.18,9.4,4.64,35.73,-1,48.87
27,"bf.s2",0,0,0,0,0,0,-1,48.87
27,"ours1.s1",4.88,5.75,7.78,8.27,4.83,31.51,-1,35.54
27,"ours1.s2",0.71,1.31,2.91,1.52,0.46,6.92,-1,45
27,"ours2.s1",4.88,5.69,7.83,8.32,4.78,31.51,-1,35.43
27,"ours2.s2",1.03,1.97,3.07,1.67,0.5,8.24,-1,46.28
27,"titeet",4,5.2,8.2,5.6,2.2,25.2,-1,30.18
27,"bfet",4.13,5.73,9.79,9.69,6.17,35.51,-1,41.7
3,"ours0.s1",5.85,7.31,10.2,8.97,4.78,37.11,-1,49.1
3,"ours0.s2",0.06,0.24,0.94,1.07,0.42,2.72,-1,53.46
3,"bf.s1",4.54,6.96,10.18,9.4,4.64,35.73,-1,48.87
3,"bf.s2",0,0,0,0,0,0,-1,48.87
3,"ours1.s1",4.88,5.75,7.78,8.27,4.83,31.51,-1,35.54
3,"ours1.s2",0.71,1.31,2.91,1.52,0.46,6.92,-1,45
3,"ours2.s1",4.88,5.69,7.83,8.32,4.78,31.51,-1,35.43
3,"ours2.s2",1.03,1.97,3.07,1.67,0.5,8.24,-1,46.28
3,"titeet",4,5.2,8.2,5.6,2.2,25.2,-1,30.18
3,"bfet",4.13,5.73,9.79,9.69,6.17,35.51,-1,41.7
173,"ours0.s1",10.34,12.14,6.26,1.38,0.15,30.28,1.54,25.23
173,"ours0.s2",0.01,0.05,0.26,0.08,0.01,0.42,0.09,25.64
173,"bf.s1",9.69,12.23,6.42,1.38,0.12,29.84,1.5,25.34
173,"bf.s2",0,0,0,0,0,0,0,25.34
173,"ours1.s1",9.93,11.65,6.11,1.41,0.21,29.31,1.62,16.21
173,"ours1.s2",0.21,0.25,0.32,0.1,0.02,0.91,0.12,17.19
173,"ours2.s1",9.89,11.7,6.36,1.51,0.22,29.68,1.73,16.32
173,"ours2.s2",0.26,0.28,0.34,0.14,0.02,1.05,0.16,17.4
173,"titeet",7.1,9,4.1,1.2,0.2,21.6,1.4,13.86
173,"bfet",7.74,11.86,7.17,2.12,0.44,29.34,2.56,17.2
43,"ours0.s1",6.02,7.71,10.86,9.19,4.66,38.45,-1,51.56
43,"ours0.s2",0.04,0.16,0.62,0.92,0.43,2.17,-1,55.11
43,"bf.s1",4.63,7.23,10.78,9.79,4.57,37.01,-1,51.45
43,"bf.s2",0,0,0,0,0,0,-1,51.45
43,"ours1.s1",5.68,6.84,9.37,8.62,4.86,35.37,-1,43.08
43,"ours1.s2",0.22,0.53,1.59,1.33,0.43,4.09,-1,49.25
43,"ours2.s1",5.55,6.83,9.55,8.58,4.77,35.27,-1,42.86
43,"ours2.s2",0.32,0.76,1.7,1.49,0.52,4.78,-1,49.79
43,"titeet",3.9,4.9,8,5.8,2.7,25.3,-1,31.04
43,"bfet",4.19,5.66,10.94,10.82,6.23,37.83,-1,55.1
73,"ours0.s1",12.13,11.97,6.8,1.6,0.23,32.74,1.83,29.25
73,"ours0.s2",0.01,0.07,0.18,0.09,0,0.35,0.09,29.67
73,"bf.s1",11.67,12.37,6.94,1.6,0.2,32.78,1.8,29.43
73,"bf.s2",0,0,0,0,0,0,0,29.43
73,"ours1.s1",10.5,10.89,6.52,1.73,0.35,29.99,2.08,19.75
73,"ours1.s2",1.22,0.58,0.31,0.11,0.02,2.25,0.13,22.31
73,"ours2.s1",10.52,10.92,6.56,1.6,0.3,29.91,1.91,19.65
73,"ours2.s2",1.28,0.65,0.36,0.11,0.02,2.42,0.13,22.35
73,"titeet",8.5,6.6,2.9,0.8,0.1,18.9,0.9,13.86
73,"bfet",10.86,11.96,7.63,2.38,0.61,33.43,2.99,22.7
59,"ours0.s1",5.87,7.46,10.57,9.11,4.72,37.73,-1,49.83
59,"ours0.s2",0.06,0.21,0.75,0.99,0.48,2.48,-1,53.78
59,"bf.s1",4.57,7.05,10.44,9.59,4.63,36.28,-1,49.85
59,"bf.s2",0,0,0,0,0,0,-1,49.85
59,"ours1.s1",5.23,6.23,8.54,8.38,4.85,33.22,-1,38.55
59,"ours1.s2",0.43,0.89,2.32,1.47,0.44,5.56,-1,46.58
59,"ours2.s1",5.21,6.28,8.62,8.35,4.78,33.24,-1,38.56
59,"ours2.s2",0.58,1.36,2.4,1.62,0.5,6.45,-1,47.43
59,"titeet",4,5,8.1,5.8,2.5,25.4,-1,30.5
59,"bfet",4.14,5.64,10.44,10.32,6.13,36.66,-1,47.8
11,"ours0.s1",5.87,7.46,10.57,9.11,4.72,37.73,-1,49.83
11,"ours0.s2",0.06,0.21,0.75,0.99,0.48,2.48,-1,53.78
11,"bf.s1",4.57,7.05,10.44,9.59,4.63,36.28,-1,49.85
11,"bf.s2",0,0,0,0,0,0,-1,49.85
11,"ours1.s1",5.23,6.23,8.54,8.38,4.85,33.22,-1,38.55
11,"ours1.s2",0.43,0.89,2.32,1.47,0.44,5.56,-1,46.58
11,"ours2.s1",5.21,6.28,8.62,8.35,4.78,33.24,-1,38.56
11,"ours2.s2",0.58,1.36,2.4,1.62,0.5,6.45,-1,47.43
11,"titeet",4,5,8.1,5.8,2.5,25.4,-1,30.5
11,"bfet",4.14,5.64,10.44,10.32,6.13,36.66,-1,47.8
189,"ours0.s1",10.65,12.81,6.23,1.22,0.12,31.03,1.34,27.67
189,"ours0.s2",0,0.03,0.19,0.08,0.01,0.31,0.08,27.96
189,"bf.s1",9.91,12.83,6.47,1.29,0.12,30.63,1.42,27.73
189,"bf.s2",0,0,0,0,0,0,0,27.73
189,"ours1.s1",10.4,12.65,6.55,1.45,0.17,31.22,1.62,23.56
189,"ours1.s2",0.01,0.03,0.22,0.08,0.01,0.34,0.09,23.88
189,"ours2.s1",10.51,12.62,6.46,1.36,0.14,31.09,1.5,23.58
189,"ours2.s2",0,0.04,0.25,0.1,0.01,0.41,0.11,23.95
189,"titeet",7.2,9,4,1.2,0.2,21.6,1.4,14.85
189,"bfet",8.02,12.67,7.5,2.12,0.42,30.74,2.54,29.3
67,"ours0.s1",6.02,7.71,10.86,9.19,4.66,38.45,-1,51.56
67,"ours0.s2",0.04,0.16,0.62,0.92,0.43,2.17,-1,55.11
67,"bf.s1",4.63,7.23,10.78,9.79,4.57,37.01,-1,51.45
67,"bf.s2",0,0,0,0,0,0,-1,51.45
67,"ours1.s1",5.68,6.84,9.37,8.62,4.86,35.37,-1,43.08
67,"ours1.s2",0.22,0.53,1.59,1.33,0.43,4.09,-1,49.25
67,"ours2.s1",5.55,6.83,9.55,8.58,4.77,35.27,-1,42.86
67,"ours2.s2",0.32,0.76,1.7,1.49,0.52,4.78,-1,49.79
67,"titeet",3.9,4.9,8,5.8,2.7,25.3,-1,31.04
67,"bfet",4.19,5.66,10.94,10.82,6.23,37.83,-1,55.1
129,"ours0.s1",12.39,12.33,6.81,1.51,0.24,33.27,1.75,30.41
129,"ours0.s2",0.01,0.04,0.14,0.07,0.01,0.27,0.08,30.73
129,"bf.s1",11.8,12.66,6.98,1.56,0.21,33.2,1.77,30.45
129,"bf.s2",0,0,0,0,0,0,0,30.45
129,"ours1.s1",11.76,11.65,6.72,1.72,0.31,32.16,2.03,23.19
129,"ours1.s2",0.26,0.24,0.22,0.08,0.01,0.81,0.09,24.24
129,"ours2.s1",11.89,11.55,6.62,1.63,0.25,31.93,1.88,23.16
129,"ours2.s2",0.26,0.29,0.31,0.1,0.02,0.97,0.11,24.34
129,"titeet",8.3,6.7,3.1,0.9,0.2,19.2,1.1,14.3
129,"bfet",11.33,12.91,7.93,2.38,0.52,35.07,2.9,28.5
