"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","EN","EN.Overdose","duration"
203,"bfet",4.48,6.18,11.42,11.77,6.1,39.95,-1,27.3
96,"ours0.s1",6.04,11.79,11.77,9.08,4.3,42.98,-1,37.38
96,"ours0.s2",0,0.01,0.11,0.43,0.33,0.88,-1,38.36
96,"bf.s1",4.85,11.34,12.09,9.31,4.22,41.81,-1,37.14
96,"bf.s2",0,0,0,0,0,0,-1,37.14
96,"ours1.s1",5.92,11.48,11.14,8.5,4.54,41.58,-1,31.37
96,"ours1.s2",0.01,0.1,0.32,0.63,0.31,1.38,-1,32.93
96,"ours2.s1",5.9,11.41,11.28,8.51,4.49,41.6,-1,31.43
96,"ours2.s2",0.02,0.12,0.37,0.81,0.41,1.73,-1,33.3
96,"titeet",3.7,7.3,5.9,4.1,1.9,22.9,-1,19.74
96,"bfet",4.19,10.74,12.19,10.95,5.99,44.06,-1,39.3
171,"ours0.s1",6.18,8.27,11.49,9.76,4.55,40.25,-1,30.86
171,"ours0.s2",0,0.01,0.2,0.75,0.46,1.41,-1,32.16
171,"bf.s1",5.08,7.99,11.53,10.01,4.56,39.17,-1,30.8
171,"bf.s2",0,0,0,0,0,0,-1,30.8
171,"ours1.s1",6.05,7.42,10.17,9,4.63,37.28,-1,19.97
171,"ours1.s2",0.07,0.33,1.11,1.17,0.42,3.1,-1,22.76
171,"ours2.s1",6.14,7.4,10.2,8.89,4.67,37.3,-1,19.93
171,"ours2.s2",0.1,0.46,1.2,1.31,0.56,3.63,-1,23.02
171,"titeet",3.9,5.1,7.8,5.9,2.6,25.3,-1,18.71
171,"bfet",4.32,5.85,10.96,10.73,6.19,38.04,-1,20.3
211,"ours0.s1",6.3,8.26,12.06,10.44,4.47,41.53,-1,32.88
211,"ours0.s2",0,0,0.13,0.6,0.44,1.17,-1,33.93
211,"bf.s1",5.1,8.1,12.12,10.65,4.45,40.42,-1,32.75
211,"bf.s2",0,0,0,0,0,0,-1,32.75
211,"ours1.s1",6.26,8.34,11.97,10.09,4.67,41.33,-1,27.98
211,"ours1.s2",0,0,0.16,0.69,0.41,1.26,-1,29.13
211,"ours2.s1",6.27,8.32,11.91,10.14,4.68,41.31,-1,28
211,"ours2.s2",0,0,0.17,0.74,0.58,1.49,-1,29.29
211,"titeet",4.1,5.2,7.6,5.8,2.8,25.5,-1,19.84
211,"bfet",4.57,6.35,11.78,12.05,5.94,40.69,-1,34.5
208,"ours0.s1",6,11.84,11.78,9.16,4.27,43.05,-1,31.2
208,"ours0.s2",0,0,0.11,0.47,0.32,0.9,-1,32.03
208,"bf.s1",4.87,11.34,12.16,9.4,4.23,42.01,-1,31.09
208,"bf.s2",0,0,0,0,0,0,-1,31.09
208,"ours1.s1",6.03,11.57,11.26,8.52,4.53,41.91,-1,22.99
208,"ours1.s2",0.01,0.08,0.27,0.59,0.25,1.21,-1,24.17
208,"ours2.s1",6.03,11.49,11.38,8.56,4.44,41.91,-1,23.01
208,"ours2.s2",0.02,0.09,0.29,0.78,0.46,1.64,-1,24.51
208,"titeet",3.7,7.4,5.9,4.2,1.8,23,-1,16.75
208,"bfet",4.22,10.79,12.17,10.79,5.88,43.84,-1,27.1
163,"ours0.s1",6.3,8.26,12.06,10.44,4.47,41.53,-1,32.88
163,"ours0.s2",0,0,0.13,0.6,0.44,1.17,-1,33.93
163,"bf.s1",5.1,8.1,12.12,10.65,4.45,40.42,-1,32.75
163,"bf.s2",0,0,0,0,0,0,-1,32.75
163,"ours1.s1",6.26,8.34,11.97,10.09,4.67,41.33,-1,27.98
163,"ours1.s2",0,0,0.16,0.69,0.41,1.26,-1,29.13
163,"ours2.s1",6.27,8.32,11.91,10.14,4.68,41.31,-1,28
163,"ours2.s2",0,0,0.17,0.74,0.58,1.49,-1,29.29
